stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
45,0.5,2.0,46.70604620000813,,46.690202500030864,46.70604620000813,47.20485470001586,47.20485470001586,47.20485470001586,47.50506629998563,47.6235752000357,left,-2.0,1,1,0.41001250001136214,059408,001,2024-09-09_13h20.40.102,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-09 13h20.49.937546 +0530,
46,0.5,2.0,47.63839510001708,,47.62367619998986,47.63839510001708,48.13907219999237,48.13907219999237,48.13907219999237,48.43845230003353,48.756729100015946,left,-2.0,0,0,0.6055179999675602,059408,001,2024-09-09_13h20.40.102,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-09 13h20.49.937546 +0530,
47,0.5,2.5,48.771413400012534,,48.756825599994045,48.771413400012534,49.27219430002151,49.27219430002151,49.27219430002151,49.57152950001182,49.906197700009216,left,-2.5,1,1,0.6283895000233315,059408,001,2024-09-09_13h20.40.102,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-09 13h20.49.937546 +0530,
48,0.5,2.5,49.921080100000836,,49.906328100012615,49.921080100000836,50.404676700010896,50.404676700010896,50.42278060002718,50.70452720002504,50.95551699999487,right,2.5,1,1,0.5469360999995843,059408,001,2024-09-09_13h20.40.102,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-09 13h20.49.937546 +0530,
49,0.5,2.5,50.97037150000688,,50.95563240000047,50.97037150000688,51.453713800001424,51.453713800001424,51.47151100001065,51.75378810003167,52.10486020002281,right,2.5,1,1,0.6383019000058994,059408,001,2024-09-09_13h20.40.102,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-09 13h20.49.937546 +0530,
50,0.5,2.0,52.1202930000145,,52.10498000000371,52.1202930000145,52.604484700015746,52.604484700015746,52.62079030001769,52.90455919998931,53.07202810002491,left,-2.0,1,1,0.4646719000302255,059408,001,2024-09-09_13h20.40.102,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-09 13h20.49.937546 +0530,
51,0.5,2.0,53.0871349000372,,53.072126400016714,53.0871349000372,53.5867084999918,53.5867084999918,53.5867084999918,53.88783100002911,53.97177850001026,left,-2.0,0,0,0.381287100026384,059408,001,2024-09-09_13h20.40.102,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-09 13h20.49.937546 +0530,
52,0.5,2.5,53.98806719999993,,53.97194339998532,53.98806719999993,54.48773270001402,54.48773270001402,54.48773270001402,54.78649219998624,54.922725500015076,right,2.5,1,1,0.4309068000293337,059408,001,2024-09-09_13h20.40.102,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-09 13h20.49.937546 +0530,
53,0.5,2.5,54.9361848999979,,54.922857200028375,54.9361848999979,55.43828170001507,55.43828170001507,55.43828170001507,55.73634609999135,55.855493500013836,right,2.5,1,1,0.4012312000268139,059408,001,2024-09-09_13h20.40.102,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-09 13h20.49.937546 +0530,
54,0.5,2.5,55.870814400026575,,55.85564040002646,55.870814400026575,56.36991850001505,56.36991850001505,56.36991850001505,56.67007749999175,56.87079650000669,right,2.5,1,1,0.48618740000529215,059408,001,2024-09-09_13h20.40.102,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-09 13h20.49.937546 +0530,
